config_name,algorithm,seed,eval_day,algorithm_family,total_energy_charged_kwh,retail_revenue_cop,energy_purchase_cost_cop,gross_margin_cop,retail_tariff_cop_per_kwh,retail_tariff_month,energy_purchase_cost_cop_per_kwh,cu_tariff_month,cu_with_contribution
station_v0_bogota,RoundRobin,0,2022-02-14,heuristic,214.324423019592,310770.4133784084,185553.83396007647,125216.57941833194,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,0,2022-03-05,heuristic,201.70257316855333,292468.7310944023,174626.32230026647,117842.40879413584,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,0,2022-04-06,heuristic,214.33259746361628,310782.2663222436,185560.9110789966,125221.355243247,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,0,2022-05-21,heuristic,201.6908183584515,292451.6866197547,174616.14543824052,117835.54118151419,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,0,2022-06-15,heuristic,214.3521359830497,310810.59717542207,185577.82677688907,125232.770398533,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,0,2022-07-10,heuristic,201.72567427377447,292502.22769697296,174646.3223477744,117855.90534919855,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,0,2022-08-24,heuristic,214.3220236840231,310766.93434183346,185551.75670771534,125215.17763411812,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,0,2022-09-17,heuristic,201.7157262083868,292487.80300216086,174637.70969576226,117850.0933063986,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,0,2022-11-09,heuristic,214.34323369642425,310797.6888598152,185570.1195198668,125227.56933994839,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,1,2022-01-17,heuristic,204.5563325636449,296606.6822172851,177096.99731480004,119509.68490248505,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,1,2022-02-14,heuristic,204.496512040716,296519.9424590382,177045.20700913834,119474.73544989989,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,1,2022-03-05,heuristic,213.322788017031,309318.04262469494,184686.65693780678,124631.38568688816,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,1,2022-04-06,heuristic,204.49815400410537,296522.32330595277,177046.62855782526,119475.69474812751,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,1,2022-05-21,heuristic,213.30872048340925,309297.64470094343,184674.4778087971,124623.16689214634,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,1,2022-06-15,heuristic,204.51179361513988,296542.10074195283,177058.43720793392,119483.66353401891,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,1,2022-07-10,heuristic,213.2798455379332,309255.77603000315,184649.47899268934,124606.29703731381,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,1,2022-08-24,heuristic,204.50252460345612,296528.6606750114,177050.41245447507,119478.24822053633,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,1,2022-09-17,heuristic,213.3110022108361,309300.9532057124,184676.4532405568,124624.49996515558,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,1,2022-11-09,heuristic,204.50038783783515,296525.56236486096,177048.5625250659,119476.99983979505,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,2,2022-01-17,heuristic,155.04043568887465,224808.63174886824,134228.04016265363,90580.5915862146,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,2,2022-02-14,heuristic,155.017530050157,224775.41857272765,134208.209342519,90567.20923020865,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,2,2022-03-05,heuristic,230.77726635627928,334627.036216605,199798.0722865119,134828.9639300931,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,2,2022-04-06,heuristic,155.01371066365127,224769.88046229433,134204.9026647287,90564.97779756563,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,2,2022-05-21,heuristic,230.73773919909289,334569.7218386847,199763.85119561545,134805.87064306924,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,2,2022-06-15,heuristic,153.3566518745488,222367.14521809574,132770.28496188717,89596.86025620857,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,2,2022-07-10,heuristic,230.8138508316278,334680.0837058603,199829.74571676634,134850.33798909397,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,2,2022-08-24,heuristic,155.03588285225214,224802.0301357656,134224.0984919901,90577.93164377552,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,2,2022-09-17,heuristic,230.7756834125196,334624.7409481534,199796.7018347481,134828.03911340534,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,2,2022-11-09,heuristic,155.0217150427209,224781.4868119453,134211.8325479586,90569.65426398671,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,3,2022-01-17,heuristic,202.45666813043877,293562.1687891362,175279.18868561086,118282.98010352536,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,3,2022-02-14,heuristic,202.510229957712,293639.83343868237,175325.56045353366,118314.27298514871,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,3,2022-03-05,heuristic,195.4613858123861,283419.00942795986,169222.9425730101,114196.06685494975,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,3,2022-04-06,heuristic,202.45090714641543,293553.81536230235,175274.20104744134,118279.61431486101,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,3,2022-05-21,heuristic,195.4732040575601,283436.14588346216,169233.17435467933,114202.97152878283,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,3,2022-06-15,heuristic,202.47279155394543,293585.5477532209,175293.14772493113,118292.40002828976,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,3,2022-07-10,heuristic,195.46493143894125,283424.1505864648,169226.01223997492,114198.13834648987,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,3,2022-08-24,heuristic,202.45704853232897,293562.720371877,175279.51802292193,118283.20234895509,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,3,2022-09-17,heuristic,195.46799434846756,283428.591805278,169228.66398912077,114199.9278161572,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,3,2022-11-09,heuristic,202.4785451734267,293593.89050146873,175298.12898716365,118295.76151430508,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,4,2022-01-17,heuristic,183.22180936825788,265671.6235839739,158626.38851137698,107045.23507259693,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,4,2022-02-14,heuristic,183.236784445352,265693.3374457604,158639.3533565846,107053.98408917579,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,4,2022-03-05,heuristic,176.52877745528173,255966.72731015852,152831.81916285088,103134.90814730764,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,4,2022-04-06,heuristic,183.19296947276155,265629.80573550425,158601.42004019223,107028.38569531203,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,4,2022-05-21,heuristic,176.5160078138535,255948.21133008756,152820.7636989335,103127.44763115406,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,4,2022-06-15,heuristic,183.20743638170651,265650.7827534744,158613.94493298078,107036.83782049365,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,4,2022-07-10,heuristic,176.54897666430043,255996.01616323562,152849.30686034972,103146.7093028859,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,4,2022-08-24,heuristic,183.21077195721188,265655.61933795724,158616.83274583367,107038.78659212356,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,4,2022-09-17,heuristic,176.52419338579472,255960.08040940235,152827.8504519757,103132.22995742664,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,4,2022-11-09,heuristic,183.22850360821687,265681.3302319145,158632.18412660525,107049.14610530922,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,0,2022-01-17,heuristic,36.98640959421583,53630.29391161295,32021.409449902687,21608.884461710262,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,0,2022-02-14,heuristic,36.98640959421583,53630.29391161295,32021.409449902687,21608.884461710262,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,0,2022-03-05,heuristic,61.77937181537034,89580.08913228699,53486.201611932745,36093.88752035424,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,0,2022-04-06,heuristic,36.98640959421583,53630.29391161295,32021.409449902687,21608.884461710262,1450.0,2025-08,865.7615,2026-08,True
